Year;Exploratory;EP_PlotID;isVIP;isMIP;TotalGrazing;TotalMowing;TotalFertilization
2006;SCH;SEG16;no;no;0;1;0
2006;SCH;SEG17;no;no;83.68918446;1;0
2006;SCH;SEG18;no;yes;0;1;0
2006;SCH;SEG19;no;no;28;0;0
2006;SCH;SEG20;no;no;263.4947368;0;0
2006;SCH;SEG21;no;no;303.3614458;0;0
2006;SCH;SEG22;no;yes;107.8111078;0;0
2006;SCH;SEG23;no;yes;0;2;0
2006;HAI;HEG35;no;no;446.9273743;1;64.6
2006;HAI;HEG36;no;no;50.36319613;1;60
2006;HAI;HEG37;no;yes;52.59165613;1;60
2006;HAI;HEG38;no;no;251.3333333;0;0
2006;HAI;HEG39;no;no;280.676819;0;0
2006;HAI;HEG40;no;yes;426.8330733;0;0
2006;HAI;HEG41;no;no;8.881271424;0;0
2006;HAI;HEG42;no;yes;35.27525387;0;0
2006;HAI;HEG43;no;yes;10.4716227;0;0
2006;HAI;HEG44;no;yes;5.620102675;0;0
2006;HAI;HEG45;no;no;5.135802469;0;0
2006;HAI;HEG46;no;no;41.62679426;0;0
2006;HAI;HEG47;no;no;121.7045455;1;0
2006;HAI;HEG48;no;yes;119.2650334;1;0
2006;HAI;HEG49;no;no;112.8952916;1;0
2006;HAI;HEG50;no;yes;115.4716981;1;0
2006;SCH;SEG1;yes;yes;0;3;113
2006;SCH;SEG2;yes;yes;0;2;163
2006;SCH;SEG3;yes;yes;0;2;127
2006;SCH;SEG4;yes;yes;0;1;0
2006;SCH;SEG5;yes;yes;0;1;0
2006;SCH;SEG45;no;no;94.359375;0;0
2006;SCH;SEG46;no;yes;724.251497;0;0
2006;SCH;SEG47;no;no;128.3448959;0;0
2006;SCH;SEG48;no;no;317.2890995;0;0
2006;SCH;SEG49;no;no;439.2022792;0;0
2006;SCH;SEG50;no;yes;671.7477004;0;0
2007;ALB;AEG1;yes;yes;0;2;35
2007;ALB;AEG2;yes;yes;0;3;245.35
2007;ALB;AEG3;yes;yes;0;3;64.6
2007;ALB;AEG4;yes;yes;106.6059226;1;35
2007;ALB;AEG5;yes;yes;123.5294118;1;50
2007;ALB;AEG6;yes;yes;687.1875;1;50
2007;ALB;AEG7;yes;yes;30.76923077;0;0
2007;ALB;AEG8;yes;yes;103.7037037;1;0
2007;ALB;AEG9;yes;yes;38.7409201;0;0
2007;ALB;AEG10;no;yes;0;1;0
2007;ALB;AEG11;no;no;0;3;35
2007;ALB;AEG12;no;no;0;2;35
2006;SCH;SEG24;no;no;0;2;0
2006;SCH;SEG25;no;yes;0;2;0
2006;SCH;SEG26;no;no;0;2;0
2006;SCH;SEG27;no;yes;0;1;0
2006;SCH;SEG28;no;no;0;2;0
2006;SCH;SEG29;no;no;0;1;0
2006;SCH;SEG30;no;no;0;1;0
2006;SCH;SEG31;no;yes;0;1;0
2006;SCH;SEG32;no;yes;0;1;0
2006;SCH;SEG33;no;yes;104.1615667;1;80
2006;SCH;SEG34;no;no;58.64553314;1;80
2006;SCH;SEG35;no;yes;58.64553314;1;80
2006;SCH;SEG36;no;no;147.8353659;0;0
2006;SCH;SEG37;no;yes;375.2973568;0;0
2006;SCH;SEG38;no;yes;1428.614458;1;0
2006;SCH;SEG39;no;yes;56.63265306;0;0
2006;SCH;SEG40;no;no;318.7845969;0;0
2006;SCH;SEG41;no;no;1361.948212;0;0
2006;SCH;SEG42;no;yes;517.063129;0;0
2006;SCH;SEG43;no;yes;274.2798354;0;0
2006;SCH;SEG44;no;no;414.8;0;0
2007;ALB;AEG34;no;no;90.15151515;0;0
2007;ALB;AEG35;no;no;0;2;35
2007;ALB;AEG36;no;no;0;2;35
2007;ALB;AEG37;no;no;0;2;35
2007;ALB;AEG38;no;yes;0;2;0
2007;ALB;AEG39;no;yes;0;2;35
2007;ALB;AEG40;no;no;0;2;42.57
2007;ALB;AEG41;no;no;0;2;107.75
2007;ALB;AEG42;no;no;354.3307087;1;64.6
2007;ALB;AEG43;no;no;214.2857143;1;58.14
2007;ALB;AEG44;no;yes;506.8965517;0;0
2007;ALB;AEG45;no;yes;0;2;0
2007;ALB;AEG46;no;yes;286.7647059;0;0
2007;ALB;AEG47;no;no;54.6875;0;0
2007;ALB;AEG48;no;no;62.5;0;0
2007;ALB;AEG49;no;yes;91.89189189;0;0
2007;ALB;AEG50;no;no;0;2;99
2007;HAI;HEG1;yes;yes;44.93307839;3;135
2007;ALB;AEG13;no;no;0;2;35
2007;ALB;AEG14;no;no;0;2;97.52
2007;ALB;AEG15;no;yes;0;3;129.2
2007;ALB;AEG16;no;no;19.46350593;2;23.65
2007;ALB;AEG17;no;no;0;3;80.75
2007;ALB;AEG18;no;yes;0;3;97.52
2007;ALB;AEG19;no;no;1000.194932;1;50
2007;ALB;AEG20;no;yes;316.4383562;0;50
2007;ALB;AEG21;no;yes;1135.836177;0;378.4
2007;ALB;AEG22;no;yes;0;1;0
2007;ALB;AEG23;no;no;0;2;0
2007;ALB;AEG24;no;no;132.9787234;2;0
2007;ALB;AEG25;no;no;54.66908432;0;0
2007;ALB;AEG26;no;yes;400;0;0
2007;ALB;AEG27;no;no;217.1945701;0;0
2007;ALB;AEG28;no;no;50.79681275;0;0
2007;ALB;AEG29;no;no;50.36827195;1;19.8
2007;ALB;AEG30;no;yes;124.0875912;0;0
2007;ALB;AEG31;no;yes;59.57943925;0;0
2007;ALB;AEG32;no;no;35.36754508;0;0
2007;ALB;AEG33;no;yes;323.4152652;0;0
2007;HAI;HEG23;no;no;107.5378788;1;0
2007;HAI;HEG24;no;no;357.1428571;0;0
2007;HAI;HEG25;no;no;401.2738854;0;0
2007;HAI;HEG26;no;yes;0;1;0
2007;HAI;HEG27;no;yes;0;1;60
2007;HAI;HEG28;no;yes;82.08955224;1;30
2007;HAI;HEG29;no;no;52.50596659;2;30
2007;HAI;HEG30;no;yes;0;3;60
2007;HAI;HEG31;no;no;119.1420912;1;50
2007;HAI;HEG32;no;no;103.8781163;1;50
2007;HAI;HEG33;no;yes;118.5998627;1;27
2007;HAI;HEG34;no;no;9.275618375;1;80.75
2007;HAI;HEG35;no;no;19.55307263;1;80.75
2007;HAI;HEG36;no;no;173.6440678;1;60
2007;HAI;HEG37;no;yes;181.3274336;1;60
2007;HAI;HEG38;no;no;268.1212121;0;0
2007;HAI;HEG39;no;no;187.7834179;0;0
2007;HAI;HEG40;no;yes;54.94422671;0;0
2007;HAI;HEG2;yes;yes;34.79576399;3;140
2007;HAI;HEG3;yes;yes;34.79576399;3;140
2007;HAI;HEG4;yes;yes;113.8339921;1;27
2007;HAI;HEG5;yes;yes;93.56725146;2;80
2007;HAI;HEG6;yes;yes;9.275618375;1;80.75
2007;HAI;HEG7;yes;yes;452.4607813;0;0
2007;HAI;HEG8;yes;yes;452.4607813;0;0
2007;HAI;HEG9;yes;yes;71.42857143;0;0
2007;HAI;HEG10;no;yes;0;1;0
2007;HAI;HEG11;no;yes;0;1;0
2007;HAI;HEG12;no;no;450;0;50
2007;HAI;HEG13;no;no;39.82713915;3;0
2007;HAI;HEG14;no;no;182.1145374;1;154.6
2007;HAI;HEG15;no;no;25.86206897;2;60
2007;HAI;HEG16;no;no;113.3207547;0;0
2007;HAI;HEG17;no;no;47.94227686;0;0
2007;HAI;HEG18;no;no;85.93014968;0;0
2007;HAI;HEG19;no;no;47.94227686;0;0
2007;HAI;HEG20;no;yes;54.84574634;0;0
2007;HAI;HEG21;no;yes;89.22155689;0;0
2007;HAI;HEG22;no;no;44.41624365;1;0
2007;SCH;SEG12;no;no;0;2;126
2007;SCH;SEG13;no;no;0;2;47
2007;SCH;SEG14;no;no;122.3103058;0;0
2007;SCH;SEG15;no;no;0;1;0
2007;SCH;SEG16;no;no;0;1;0
2007;SCH;SEG17;no;no;0;2;0
2007;SCH;SEG18;no;yes;0;2;0
2007;SCH;SEG19;no;no;28;0;0
2007;SCH;SEG20;no;no;157.0947368;0;0
2007;SCH;SEG21;no;no;224.7590361;0;0
2007;SCH;SEG22;no;yes;107.8111078;0;0
2007;SCH;SEG23;no;yes;0;2;0
2007;SCH;SEG24;no;no;0;1;0
2007;SCH;SEG25;no;yes;0;2;0
2007;SCH;SEG26;no;no;0;2;0
2007;SCH;SEG27;no;yes;0;1;0
2007;SCH;SEG28;no;no;0;1;0
2007;SCH;SEG29;no;no;0;0;0
2007;HAI;HEG41;no;no;54.84574634;0;0
2007;HAI;HEG42;no;yes;47.94227686;0;0
2007;HAI;HEG43;no;yes;87.60991207;0;0
2007;HAI;HEG44;no;yes;113.2801945;0;0
2007;HAI;HEG45;no;no;17.70740741;0;0
2007;HAI;HEG46;no;no;86.42599278;0;0
2007;HAI;HEG47;no;no;102.2727273;1;0
2007;HAI;HEG48;no;yes;258.7973274;0;0
2007;HAI;HEG49;no;no;163.3169361;0;0
2007;HAI;HEG50;no;yes;54.81132075;1;189.2
2007;SCH;SEG1;yes;yes;0;2;126
2007;SCH;SEG2;yes;yes;0;2;90
2007;SCH;SEG3;yes;yes;55.72368421;2;120
2007;SCH;SEG4;yes;yes;0;1;0
2007;SCH;SEG5;yes;yes;0;1;0
2007;SCH;SEG6;yes;yes;0;2;0
2007;SCH;SEG7;yes;yes;122.3103058;0;0
2007;SCH;SEG8;yes;yes;28;0;0
2007;SCH;SEG9;yes;yes;141.4597156;0;0
2007;SCH;SEG10;no;no;55.72368421;2;120
2007;SCH;SEG11;no;no;55.72368421;2;120
2008;ALB;AEG1;yes;yes;0;2;35
2008;ALB;AEG2;yes;yes;0;3;148.45
2008;ALB;AEG3;yes;yes;0;3;64.6
2008;ALB;AEG4;yes;yes;106.6059226;1;35
2008;ALB;AEG5;yes;yes;123.5294118;1;50
2008;ALB;AEG6;yes;yes;687.1875;1;50
2008;ALB;AEG7;yes;yes;26.37362637;0;0
2008;ALB;AEG8;yes;yes;103.7037037;1;0
2008;ALB;AEG9;yes;yes;38.7409201;0;0
2008;ALB;AEG10;no;yes;0;1;0
2008;ALB;AEG11;no;no;0;3;35
2008;ALB;AEG12;no;no;0;2;35
2008;ALB;AEG13;no;no;0;2;35
2008;ALB;AEG14;no;no;0;2;97.52
2008;ALB;AEG15;no;yes;0;3;129.2
2008;ALB;AEG16;no;no;16.21958827;2;47.3
2008;ALB;AEG17;no;no;0;3;80.75
2008;ALB;AEG18;no;yes;0;3;97.52
2007;SCH;SEG30;no;no;0;2;0
2007;SCH;SEG31;no;yes;0;2;0
2007;SCH;SEG32;no;yes;0;2;0
2007;SCH;SEG33;no;yes;262.1787026;1;52
2007;SCH;SEG34;no;no;136.2680115;1;49
2007;SCH;SEG35;no;yes;136.2680115;1;49
2007;SCH;SEG36;no;no;321.9512195;0;0
2007;SCH;SEG37;no;yes;876.3491189;0;0
2007;SCH;SEG38;no;yes;1428.614458;1;0
2007;SCH;SEG39;no;yes;0;1;62
2007;SCH;SEG40;no;no;815.8724428;0;0
2007;SCH;SEG41;no;no;804.5622688;0;0
2007;SCH;SEG42;no;yes;1037.511436;0;0
2007;SCH;SEG43;no;yes;259.2592593;0;0
2007;SCH;SEG44;no;no;132;0;0
2007;SCH;SEG45;no;no;198.515625;0;0
2007;SCH;SEG46;no;yes;91.61676647;0;0
2007;SCH;SEG47;no;no;170.4166667;0;0
2007;SCH;SEG48;no;no;141.4597156;0;0
2007;SCH;SEG49;no;no;595.4036087;0;0
2007;SCH;SEG50;no;yes;671.7477004;0;0
2008;ALB;AEG40;no;no;0;3;42.57
2008;ALB;AEG41;no;no;0;2;107.75
2008;ALB;AEG42;no;no;354.3307087;1;64.6
2008;ALB;AEG43;no;no;214.2857143;1;58.14
2008;ALB;AEG44;no;yes;517.2413793;0;0
2008;ALB;AEG45;no;yes;0;2;0
2008;ALB;AEG46;no;yes;286.7647059;0;0
2008;ALB;AEG47;no;no;41.015625;0;0
2008;ALB;AEG48;no;no;62.5;0;0
2008;ALB;AEG49;no;yes;153.1531532;0;0
2008;ALB;AEG50;no;no;0;2;99
2008;HAI;HEG1;yes;yes;49.90439771;2;163.36
2008;HAI;HEG2;yes;yes;0;3;60
2008;HAI;HEG3;yes;yes;0;3;60
2008;HAI;HEG4;yes;yes;132.8063241;2;27
2008;HAI;HEG5;yes;yes;72.98245614;2;80
2008;HAI;HEG6;yes;yes;9.275618375;1;80.75
2008;HAI;HEG7;yes;yes;328.8511227;0;0
2008;ALB;AEG19;no;no;1000.194932;1;50
2008;ALB;AEG20;no;yes;316.4383562;0;50
2008;ALB;AEG21;no;yes;1135.836177;0;378.4
2008;ALB;AEG22;no;yes;0;1;0
2008;ALB;AEG23;no;no;0;2;0
2008;ALB;AEG24;no;no;132.9787234;2;81.3
2008;ALB;AEG25;no;no;54.66908432;0;0
2008;ALB;AEG26;no;yes;257.1428571;0;0
2008;ALB;AEG27;no;no;217.1945701;0;0
2008;ALB;AEG28;no;no;59.26294821;0;0
2008;ALB;AEG29;no;no;50.36827195;1;19.8
2008;ALB;AEG30;no;yes;124.0875912;0;0
2008;ALB;AEG31;no;yes;59.57943925;0;0
2008;ALB;AEG32;no;no;41.26213592;0;0
2008;ALB;AEG33;no;yes;323.4152652;0;0
2008;ALB;AEG34;no;no;128.7878788;0;0
2008;ALB;AEG35;no;no;0;2;35
2008;ALB;AEG36;no;no;0;2;35
2008;ALB;AEG37;no;no;0;2;35
2008;ALB;AEG38;no;yes;0;2;0
2008;ALB;AEG39;no;yes;0;2;35
2008;HAI;HEG29;no;no;70.16706444;1;27
2008;HAI;HEG30;no;yes;0;3;80
2008;HAI;HEG31;no;no;119.1420912;1;50
2008;HAI;HEG32;no;no;103.8781163;1;50
2008;HAI;HEG33;no;yes;138.3665065;2;27
2008;HAI;HEG34;no;no;9.275618375;1;80.75
2008;HAI;HEG35;no;no;19.55307263;1;80.75
2008;HAI;HEG36;no;no;173.6440678;1;60
2008;HAI;HEG37;no;yes;181.3274336;1;60
2008;HAI;HEG38;no;no;272;0;0
2008;HAI;HEG39;no;no;338.8324873;0;0
2008;HAI;HEG40;no;yes;42.73439855;0;0
2008;HAI;HEG41;no;no;54.84574634;0;0
2008;HAI;HEG42;no;yes;47.94227686;0;0
2008;HAI;HEG43;no;yes;87.60991207;0;0
2008;HAI;HEG44;no;yes;113.2801945;0;0
2008;HAI;HEG45;no;no;17.70740741;0;0
2008;HAI;HEG46;no;no;21.73285199;0;0
2008;HAI;HEG8;yes;yes;328.8511227;0;0
2008;HAI;HEG9;yes;yes;71.42857143;0;0
2008;HAI;HEG10;no;yes;0;1;0
2008;HAI;HEG11;no;yes;0;1;0
2008;HAI;HEG12;no;no;450;0;50
2008;HAI;HEG13;no;no;50.56179775;3;0
2008;HAI;HEG14;no;no;182.1145374;1;154.6
2008;HAI;HEG15;no;no;45.25862069;1;60
2008;HAI;HEG16;no;no;113.3207547;0;0
2008;HAI;HEG17;no;no;47.94227686;0;0
2008;HAI;HEG18;no;no;85.93014968;0;0
2008;HAI;HEG19;no;no;47.94227686;0;0
2008;HAI;HEG20;no;yes;54.84574634;0;0
2008;HAI;HEG21;no;yes;33.60778443;0;0
2008;HAI;HEG22;no;no;44.41624365;2;0
2008;HAI;HEG23;no;no;181.25;1;0
2008;HAI;HEG24;no;no;215.1378446;1;0
2008;HAI;HEG25;no;no;401.2738854;0;0
2008;HAI;HEG26;no;yes;0;1;0
2008;HAI;HEG27;no;yes;0;1;60
2008;HAI;HEG28;no;yes;0;2;95
2008;SCH;SEG18;no;yes;0;2;0
2008;SCH;SEG19;no;no;0;1;0
2008;SCH;SEG20;no;no;167.5789474;0;0
2008;SCH;SEG21;no;no;529.1566265;0;0
2008;SCH;SEG22;no;yes;148.7971488;0;0
2008;SCH;SEG23;no;yes;0;2;0
2008;SCH;SEG24;no;no;0;2;0
2008;SCH;SEG25;no;yes;0;2;0
2008;SCH;SEG26;no;no;0;1;0
2008;SCH;SEG27;no;yes;0;1;0
2008;SCH;SEG28;no;no;0;2;0
2008;SCH;SEG29;no;no;0;1;0
2008;SCH;SEG30;no;no;0;1;0
2008;SCH;SEG31;no;yes;0;1;0
2008;SCH;SEG32;no;yes;0;1;0
2008;SCH;SEG33;no;yes;230.9669523;0;0
2008;SCH;SEG34;no;no;124.9279539;1;125
2008;SCH;SEG35;no;yes;124.9279539;1;125
2008;HAI;HEG47;no;no;102.2727273;1;0
2008;HAI;HEG48;no;yes;258.7973274;1;0
2008;HAI;HEG49;no;no;34.9964863;1;189.2
2008;HAI;HEG50;no;yes;0;1;189.2
2008;SCH;SEG1;yes;yes;0;3;99
2008;SCH;SEG2;yes;yes;21.77777778;2;45
2008;SCH;SEG3;yes;yes;38.45394737;2;45
2008;SCH;SEG4;yes;yes;0;1;0
2008;SCH;SEG5;yes;yes;0;1;0
2008;SCH;SEG6;yes;yes;31.3440672;1;0
2008;SCH;SEG7;yes;yes;484.6153846;0;0
2008;SCH;SEG8;yes;yes;0;2;0
2008;SCH;SEG9;yes;yes;103.507109;1;0
2008;SCH;SEG10;no;no;38.45394737;2;45
2008;SCH;SEG11;no;no;38.45394737;2;45
2008;SCH;SEG12;no;no;0;3;99
2008;SCH;SEG13;no;no;53.90070922;2;83
2008;SCH;SEG14;no;no;0;1;0
2008;SCH;SEG15;no;no;0;1;0
2008;SCH;SEG16;no;no;0;1;0
2008;SCH;SEG17;no;no;62.68813441;1;0
2009;ALB;AEG7;yes;yes;45.95604396;0;0
2009;ALB;AEG8;yes;yes;148.1481481;1;0
2009;ALB;AEG9;yes;yes;35.51251009;0;0
2009;ALB;AEG10;no;yes;0;1;0
2009;ALB;AEG11;no;no;0;3;33
2009;ALB;AEG12;no;no;0;2;95.95
2009;ALB;AEG13;no;no;0;2;95.95
2009;ALB;AEG14;no;no;0;2;96.06
2009;ALB;AEG15;no;yes;0;3;129.2
2009;ALB;AEG16;no;no;106.5502183;1;23.65
2009;ALB;AEG17;no;no;0;2;80.75
2009;ALB;AEG18;no;yes;0;2;96.06
2009;ALB;AEG19;no;no;487.8362573;0;45
2009;ALB;AEG20;no;yes;191.7808219;0;0
2009;ALB;AEG21;no;yes;893.0375427;0;283.8
2009;ALB;AEG22;no;yes;41.32231405;1;0
2009;ALB;AEG23;no;no;0;1;0
2009;ALB;AEG24;no;no;199.4680851;2;81.3
2008;SCH;SEG36;no;no;494.8932927;0;0
2008;SCH;SEG37;no;yes;205.0660793;0;0
2008;SCH;SEG38;no;yes;447.8313253;0;0
2008;SCH;SEG39;no;yes;0;1;0
2008;SCH;SEG40;no;no;382.9001203;0;0
2008;SCH;SEG41;no;no;407.4969174;0;0
2008;SCH;SEG42;no;yes;767.3193047;0;378.4
2008;SCH;SEG43;no;yes;333.4567901;0;0
2008;SCH;SEG44;no;no;296;0;0
2008;SCH;SEG45;no;no;104.0625;0;0
2008;SCH;SEG46;no;yes;170.6586826;0;0
2008;SCH;SEG47;no;no;179.7619048;0;0
2008;SCH;SEG48;no;no;103.507109;1;0
2008;SCH;SEG49;no;no;316.0493827;0;0
2008;SCH;SEG50;no;yes;80.65703022;0;0
2009;ALB;AEG1;yes;yes;0;2;40
2009;ALB;AEG2;yes;yes;0;3;298
2009;ALB;AEG3;yes;yes;0;2;64.6
2009;ALB;AEG4;yes;yes;57.40318907;1;35
2009;ALB;AEG5;yes;yes;63.23529412;1;45
2009;ALB;AEG6;yes;yes;186.15625;1;45
2009;ALB;AEG46;no;yes;458.8235294;0;0
2009;ALB;AEG47;no;no;54.6875;0;0
2009;ALB;AEG48;no;no;57.29166667;0;0
2009;ALB;AEG49;no;yes;153.1531532;0;0
2009;ALB;AEG50;no;no;0;2;99
2009;HAI;HEG1;yes;yes;0;3;238.36
2009;HAI;HEG2;yes;yes;30.25718608;3;162
2009;HAI;HEG3;yes;yes;30.25718608;3;162
2009;HAI;HEG4;yes;yes;124.5059289;1;108
2009;HAI;HEG5;yes;yes;121.6374269;2;120
2009;HAI;HEG6;yes;yes;59.3639576;1;110
2009;HAI;HEG7;yes;yes;294.4067797;0;0
2009;HAI;HEG8;yes;yes;185.8508604;0;0
2009;HAI;HEG9;yes;yes;80.14285714;0;0
2009;HAI;HEG10;no;yes;0;1;0
2009;HAI;HEG11;no;yes;0;1;0
2009;HAI;HEG12;no;no;1401;0;64
2009;HAI;HEG13;no;no;90.31979257;2;0
2009;ALB;AEG25;no;no;99.95466908;0;0
2009;ALB;AEG26;no;yes;298.7142857;0;0
2009;ALB;AEG27;no;no;124.4343891;0;0
2009;ALB;AEG28;no;no;59.26294821;0;0
2009;ALB;AEG29;no;no;76.14730878;1;33
2009;ALB;AEG30;no;yes;248.1751825;1;0
2009;ALB;AEG31;no;yes;99.29906542;1;0
2009;ALB;AEG32;no;no;41.26213592;0;0
2009;ALB;AEG33;no;yes;109.9611902;0;0
2009;ALB;AEG34;no;no;128.7878788;0;0
2009;ALB;AEG35;no;no;0;2;35
2009;ALB;AEG36;no;no;0;2;33
2009;ALB;AEG37;no;no;0;2;95.95
2009;ALB;AEG38;no;yes;0;2;0
2009;ALB;AEG39;no;yes;0;2;95.95
2009;ALB;AEG40;no;no;318.1818182;1;37.84
2009;ALB;AEG41;no;no;0;2;105.52
2009;ALB;AEG42;no;no;226.7716535;0;64.6
2009;ALB;AEG43;no;no;214.2857143;1;54.91
2009;ALB;AEG44;no;yes;558.6206897;0;0
2009;ALB;AEG45;no;yes;0;2;0
2009;HAI;HEG35;no;no;44.63687151;1;110
2009;HAI;HEG36;no;no;41.25;2;60
2009;HAI;HEG37;no;yes;52.14917826;2;70
2009;HAI;HEG38;no;no;560.4040404;1;0
2009;HAI;HEG39;no;no;29.23857868;0;0
2009;HAI;HEG40;no;yes;677.3057851;0;0
2009;HAI;HEG41;no;no;75.02337177;0;0
2009;HAI;HEG42;no;yes;69.75675676;0;0
2009;HAI;HEG43;no;yes;89.92805755;0;0
2009;HAI;HEG44;no;yes;55.79978384;0;0
2009;HAI;HEG45;no;no;109.1358025;0;0
2009;HAI;HEG46;no;no;97.5;0;0
2009;HAI;HEG47;no;no;164.4028103;1;0
2009;HAI;HEG48;no;yes;0;1;0
2009;HAI;HEG49;no;no;0;1;0
2009;HAI;HEG50;no;yes;82.85714286;1;0
2009;SCH;SEG1;yes;yes;0;2;115
2009;SCH;SEG2;yes;yes;26.44444444;2;115
2009;HAI;HEG14;no;no;18.35535977;1;60
2009;HAI;HEG15;no;no;58.47953216;1;54
2009;HAI;HEG16;no;no;224.25;0;0
2009;HAI;HEG17;no;no;69.75675676;0;0
2009;HAI;HEG18;no;no;71.27583749;0;0
2009;HAI;HEG19;no;no;69.75675676;0;0
2009;HAI;HEG20;no;yes;75.02337177;0;0
2009;HAI;HEG21;no;yes;92.26229508;0;0
2009;HAI;HEG22;no;no;44.41624365;1;0
2009;HAI;HEG23;no;no;68.18181818;1;0
2009;HAI;HEG24;no;no;63.15789474;1;0
2009;HAI;HEG25;no;no;63.69426752;1;0
2009;HAI;HEG26;no;yes;0;1;0
2009;HAI;HEG27;no;yes;0;1;62
2009;HAI;HEG28;no;yes;0;2;108
2009;HAI;HEG29;no;no;0;2;108
2009;HAI;HEG30;no;yes;0;3;110
