Species,Status,Frequency,Species_correct,ID,Cover
Anchusa arvensis,A,3,Anchusa_arvensis,59,6.88888888888889
Papaver dubium,A,3,Papaver_dubium,60,1
Lamium amplexicaule,A,3,Lamium_amplexicaule,61,5
Equisetum arvense,I,3,Equisetum_arvense,62,3.85714285714286
Fumaria officinalis,A,3,Fumaria_officinalis,63,18.8
Aphanes arvensis,A,3,Aphanes_arvensis,64,6.45454545454545
Arenaria serpyllifolia,I,3,Arenaria_serpyllifolia,65,7
Consolida regalis,A,3,Consolida_regalis,66,1
Sinapis arvensis,A,3,Sinapis_arvensis,67,12.4347826086957
Sonchus oleraceus,I,3,Sonchus_oleraceus,68,4.66666666666667
Lolium multiflorum,N,3,Lolium_multiflorum,69,6.375
Cirsium vulgare,I,3,Cirsium_vulgare,70,7.05263157894737
Artemisia vulgaris,I,3,Artemisia_vulgaris,71,1
Hypericum perforatum,I,3,Hypericum_perforatum,72,1
Trifolium pratense,I,3,Trifolium_pratense,73,14.375
Scleranthus annuus,I,2,Scleranthus_annuus,74,1
Achillea millefolium,I,2,Achillea_millefolium,75,7.21875
Sonchus asper,NA,2,Sonchus_asper,76,6.9016393442623
Veronica polita,A,2,Veronica_polita,77,8.77777777777778
Rumex crispus,I,2,Rumex_crispus,78,5.08620689655172
Falcaria vulgaris,I,2,Falcaria_vulgaris,79,1
Euphorbia exigua,A,2,Euphorbia_exigua,80,6.55555555555556
Veronica hederifolia,I,2,Veronica_hederifolia,81,2.8
Persicaria maculosa,I,2,Persicaria_maculosa,82,19.0227272727273
Plantago lanceolata,A,2,Plantago_lanceolata,83,7.66071428571429
Vicia villosa,N,2,Vicia_villosa,84,1
Erysimum cheiranthoides,I,2,Erysimum_cheiranthoides,85,1
Papaver argemone,A,2,Papaver_argemone,86,1
Vicia tetrasperma,I,2,Vicia_tetrasperma,87,1
Epilobium tetragonum,I,2,Epilobium_tetragonum,88,1
Conium maculatum,A,2,Conium_maculatum,89,17.4285714285714
Veronica peregrina,NA,2,Veronica_peregrina,90,1
Urtica dioica,I,2,Urtica_dioica,91,13.8965517241379
Lactuca serriola,I,2,Lactuca_serriola,92,13.7142857142857
Anthriscus caucalis,I,2,Anthriscus_caucalis,93,7.33333333333333
Bromus horderaceus,I,2,Bromus_hordeaceus_aggr.incl_B_commutatus,94,25.125
Crepis tectorum,I,2,Crepis_tectorum,95,1
Geranium columbinum,A,2,Geranium_columbinum,96,1
Medicago x varia,K,2,Medicago_x_varia,97,1
Picris hieracioides,I,2,Picris_hieracioides,98,1
Rumex acetosa,I,2,Rumex_acetosa,99,6.57894736842105
Rumex obtusifolius,I,2,Rumex_obtusifolius,100,6.52459016393443
Trifolium arvense,NA,2,Trifolium_arvense,101,3
Valerianella dentata,I,2,Valerianella_dentata,102,2.5
Vicia cracca,I,2,Vicia_cracca,103,18.5
Vicia sepium,I,2,Vicia_sepium,104,2
Gnaphalium uliginosum,I,1,Gnaphalium_uliginosum,105,1
Juncus bufonius,I,1,Juncus_bufonius,106,1
Digitaria ischaemum,A,1,Digitaria_ischaemum,107,7
Spergularia rubra,A/I,1,Spergularia_rubra,108,1
Silene noctiflora,A,1,Silene_noctiflora,109,7
Galeopsis tetrahit,NA,1,Galeopsis_tetrahit,110,10.6
Adonis aestivalis,A,1,Adonis_aestivalis,111,1
Medicago lupulina,I,1,Medicago_lupulina,112,11.15
Sherardia arvensis,A,1,Sherardia_arvensis,113,5.53846153846154
Fumaria vaillantii,A,1,Fumaria_vaillantii,114,1
Rubus caesius,I,1,Rubus_caesius,115,12
Ranunculus repens,I,1,Ranunculus_repens,116,10.9298245614035
Raphanus raphanistrum,NA,1,Raphanus_raphanistrum,117,4.625
Tussilago farfara,I,1,Tussilago_farfara,118,9.42105263157895
Anthemis arvensis,A,1,Anthemis_arvensis,119,1
Cerastium holosteoides,I,1,Cerastium_holosteoides,120,1
Linaria vulgaris,I,1,Linaria_vulgaris,121,3
Veronica triphyllos,A,1,Veronica_triphyllos,122,1
Erophila verna,I,1,Erophila_verna,123,1
Persicaria amphibia,I,1,Persicaria_amphibia,124,1
Acer campestre,I,1,Acer_campestre,125,1
Amaranthus retroflexus,N,1,Amaranthus_retroflexus,126,1
Anthoxanthum aristatum,N,1,Anthoxanthum_aristatum,127,1
Anthriscus sylvestris,NA,1,Anthriscus_sylvestris,128,13.6363636363636
Arctium lappa,A/I,1,Arctium_lappa,129,1
Arrhenatherium elatior,I,1,Arrhenatherium_elatior,130,1
Atriplex sagittata,N,1,Atriplex_sagittata,131,1
Avena sativa,K,1,Avena_sativa,132,1
Ballota nigra,A,1,Ballota_nigra,133,5
Berteroa incana,N,1,Berteroa_incana,134,1
Bromus commutatus,A,1,Bromus_hordeaceus_aggr.incl_B_commutatus,135,25.125
Bromus japonicus,NA,1,Bromus_japonicus,136,1
Bromus secalinus,NA,1,Bromus_secalinus,137,1
Calystegia sepium,I,1,Calystegia_sepium,138,12.4375
Carduus crispus,I,1,Carduus_crispus,139,1
Chaerophyllum temulum,I,1,Chaerophyllum_temulum,140,1
Chenopodium hybridum,A,1,Chenopodium_hybridum,141,1
Chenopodium rubrum,I,1,Chenopodium_rubrum,142,1
Crepis biennis,A,1,Crepis_biennis,143,1
Crepis capillaris,A/I,1,Crepis_sp,144,3.59090909090909
Elymus arenarius,I,1,Elymus_arenarius,145,1
Festuca pratensis,I,1,Festuca_pratensis,146,1
Filago arvensis,I,1,Filago_arvensis,147,1
Fraxinus excelsior,I,1,Fraxinus_excelsior,148,30
Galinsoga ciliata,N,1,Galinsoga_ciliata,149,1
Helianthus annuus,K,1,Helianthus_annuus,150,1
Holcus lanatus,I,1,Holcus_lanatus,151,13.5932203389831
Malva sylvestris,A,1,Malva_sylvestris,152,14
Phleum pratense,I,1,Phleum_pratense,153,9.55555555555556
Poa pratensis,I,1,Poa_pratensis_aggr.,154,10.8095238095238
Potentilla argentea,I,1,Potentilla_argentea,155,1
Prunus mahaleb,I,1,Prunus_mahaleb,156,1
Quercus petraea,NA,1,Quercus_petraea,157,1
Sambucus nigra,I,1,Sambucus_nigra,158,44.3333333333333
Senecio jacobea,I,1,Senecio_jacobea,159,1
Senecio vernalis,N,1,Senecio_vernalis,160,1
Silene vulgaris,I,1,Silene_vulgaris,161,5.85714285714286
Sisymbrium altissimus,N,1,Sisymbrium_altissimus,162,1
Sisymbrium loeselii,N,1,Sisymbrium_loeselii,163,1
Trifolium campestre,I,1,Trifolium_campestre,164,1
Trifolium dubium,I,1,Trifolium_dubium,165,12.35
Vulpia myorus,I,1,Vulpia_myorus,166,1
